time_s,phase,soc_pct,voltage_v,current_a,power_w,temp_c,energy_wh,dv_ohmic,dv_ct,dv_conc,r_total_mohm
0.0,IDLE,99.997,50.3333,0.844,42.5,25.0,0.0118,0.0304,0.0243,0.0,64.8
1.0,IDLE,99.995,50.3329,0.844,42.5,25.0,0.0236,0.0304,0.0243,0.0,64.8
2.0,IDLE,99.992,50.3325,0.844,42.5,25.0,0.0354,0.0304,0.0243,0.0,64.8
3.0,IDLE,99.99,50.3321,0.844,42.5,25.0,0.0472,0.0304,0.0243,0.0,64.8
4.0,IDLE,99.987,50.3318,0.844,42.5,25.0,0.059,0.0304,0.0243,0.0,64.8
5.0,IDLE,99.984,50.3314,0.844,42.5,25.0,0.0708,0.0304,0.0243,0.0,64.8
6.0,IDLE,99.982,50.331,0.844,42.5,25.0,0.0826,0.0304,0.0243,0.0,64.8
7.0,IDLE,99.979,50.3306,0.844,42.5,25.0,0.0944,0.0304,0.0243,0.0,64.8
8.0,IDLE,99.976,50.3302,0.844,42.5,25.0,0.1062,0.0304,0.0243,0.0,64.8
9.0,IDLE,99.974,50.3299,0.844,42.5,25.0,0.1181,0.0304,0.0243,0.0,64.8
10.0,IDLE,99.971,50.3295,0.844,42.5,25.0,0.1299,0.0304,0.0243,0.0,64.8
11.0,IDLE,99.969,50.3291,0.844,42.5,25.0,0.1417,0.0304,0.0243,0.0,64.8
12.0,IDLE,99.966,50.3287,0.844,42.5,25.0,0.1535,0.0304,0.0243,0.0,64.8
13.0,IDLE,99.963,50.3283,0.844,42.5,25.0,0.1653,0.0304,0.0243,0.0,64.8
14.0,IDLE,99.961,50.328,0.844,42.5,25.0,0.1771,0.0304,0.0243,0.0,64.8
15.0,IDLE,99.958,50.3276,0.844,42.5,25.0,0.1889,0.0304,0.0243,0.0,64.8
16.0,IDLE,99.955,50.3272,0.844,42.5,25.0,0.2007,0.0304,0.0243,0.0,64.8
17.0,IDLE,99.953,50.3268,0.844,42.5,25.0,0.2125,0.0304,0.0243,0.0,64.8
18.0,IDLE,99.95,50.3264,0.844,42.5,25.0,0.2243,0.0304,0.0243,0.0,64.8
19.0,IDLE,99.948,50.326,0.844,42.5,25.0,0.2361,0.0304,0.0243,0.0,64.8
20.0,IDLE,99.945,50.3257,0.844,42.5,25.0,0.2479,0.0304,0.0243,0.0,64.8
21.0,IDLE,99.942,50.3253,0.845,42.5,25.0,0.2597,0.0304,0.0243,0.0,64.8
